S_No,Districts,Total Accidents,Total Deaths,Executive Engineer
1,COIMBATORE ,517,1767,Thiru A.S. Viswanathan
2,MADURAI,422,1333,Thiru. M. Murugan
3,CHENGALPATTU,407,1625,Thiru. M. Sathiaseelan
4,TIRUPPUR,394,1645,Thiru. K. Velliangiri
5,THIRUVALLUR,381,1292,Thiru. K.G. Sathiya Prakash
6,SALEM ,378,1615,Thiru. S. Muthusamy
7,KRISHNAGIRI,373,1033,Er. Thiru. K. Jayaraman
8,TIRUCHIRAPALLI,361,1195,Thiru. R. Krishnasamy
9,DINDIGUL,352,1198,Thiru. N. Lingasubramanian
10,ERODE,343,1195,Thiru. L. Selvaraj
11,TIRUVANNAMALAI,330,92,Thiru. P. Gnanavelu
12,THANJAVUR,300,1159,Thiru. N. Periaraj
13,CUDDALORE,298,1613,Thiru. J.K. RameshKanna
14,NAMAKKAL,269,979,Er. K.R. Thiruguna
15,VILLUPURAM,248,1317,Thiru. R. Rajaraman
16,CHENNAI CITY,241,1813,Thiru. M. Balasubramanian
17,PUDUKKOTTAI,233,907,Thiru. M. Krishnan
18,THOOTHUKUDI,225,705,Er. K.G. Jeyaprakash
19,VIRUDHUNAGAR,220,822,Thiru. T. Bagavathiappan
20,RAMANATHAPURAM,219,703,Thiru. S.K. Ibrahim Ghani
21,TIRUNELVELI,206,745,Thiru. G. Justin Thambi
22,SIVAGANGAI,183,641,Thiru. R. Chandrasekaran
23,KANNIYAKUMARI,178,709,Thiru. T. Santhi
24,KARUR,177,548,Thiru. K. Senthil Kumar
25,DHARMAPURI,171,648,Thiru. K. Jayaraman
26,KANCHEEPURAM,150,550,Er. S. Vellivel
27,THENI,150,557,Thiru. M. Murugan
28,KALLAKURICHI,146,586,Thiru. R. Rajaraman
29,VELLORE,140,514,Thiru. Dhanasekar
30,RANIPET,138,438,Thiru. S. Kuralarasan
31,TENKASI,125,561,Thiru. T. Bagavathiappan
32,THIRUVARUR,120,470,Er. Y.R. Balaji
33,ARIYALUR,99,279,Thiru. N. Periaraj
34,TIRUPATHUR,90,282,Thiru. S. Kuralarasan
35,PERAMBALUR,88,295,Thiru. M. Murugan
36,MYILADUTHURAI,68,410,Er. Y.R. Balaji
37,NAGAPATTINAM,63,279,Er. Y.R. Balaji
38,THE NILGIRIS,34,112,Er. Thiru. A.S. Viswanathan